One byte keycodes:

kL5               fe7b
kinfCalc          fe7b
kL6               fe7c
kinfDraw          fe7c
kMatA             fe7d
kinfAlt1ne        fe7d
kMatB             fe7e
kinfAlt1lt        fe7e
kMatC             fe7f
kinfAlt1gt        fe7f
kMatD             fe80
kinfAlt2ne        fe80
kMatE             fe81
kinfAlt2lt        fe81
kXmin             fe82
kinfAlt2gt        fe82
kXmax             fe83
kinfAlt3ne        fe83
kXscl             fe84
kinfAlt3lt        fe84
kYmin             fe85
kinfAlt3gt        fe85
kYmax             fe86
kinfAlt4ne        fe86
kYscl             fe87
kinfAlt4lt        fe87
kTmin             fe88
kinfAlt4gt        fe88
kTmax             fe89
kinfAlt5ne        fe89
kTStep            fe8a
kinfAlt5lt        fe8a
kOmin             fe8b
kinfAlt5gt        fe8b
kOmax             fe8c
kinfAlt6ne        fe8c
kOStep            fe8d
kinfAlt6lt        fe8d
kinfAlt6gt        fe8e
ku0               fe8e
kv0               fe8f
knMin             fe90
knMax             fe91
kDeltaY           fe92
kDeltaX           fe93
kZXmin            fe94
kZXmax            fe95
kZXscl            fe96
kZYmin            fe97
kZYmax            fe98
kZYscl            fe99
kZTmin            fe9a
kZTmax            fe9b
kZTStep           fe9c
kZOmin            fe9d
kZOmax            fe9e
kZOStep           fe9f
kZu0              fea0
kZv0              fea1
kZnMin            fea2
kZnMax            fea3
kDelLast          fea4
kSinReg           fea5
kConstE           fea6
kPic1             fea7
kPic2             fea8
kPic3             fea9
kDelVar           feaa
kGetCalc          feab
kRealM            feac
kPolarM           fead
kRectM            feae
kuv               feaf
kvw               feb0
kuw               feb1
kFinPMTend        feb2
kFinPMTbeg        feb3
kGraphStyle       feb4
kExprOn           feb5
kExprOff          feb6
kStatA            feb7
kStatB            feb8
kStatC            feb9
kCorr             feba
kStatD            febb
kStatE            febc
kRegEq            febd
kMinX             febe
kQ1               febf
kMD               fec0
kQ3               fec1
kMaxX             fec2
kStatX1           fec3
kStatY1           fec4
kStatX2           fec5
kStatY2           fec6
kStatX3           fec7
kStatY3           fec8
kTblMin           fec9
kTblStep          feca
kSetupLst         fecb
kClrAllLst        fecc
kLogistic         fecd
kZTest            fece
kTTest            fecf
k2SampZTest       fed0
k2SampTTest       fed1
k1PropZTest       fed2
k2PropZTest       fed3
kChiTest          fed4
k2SampFTest       fed5
kZIntVal          fed6
kTIntVal          fed7
k2SampTInt        fed8
k2SampZInt        fed9
k1PropZInt        feda
k2PropZInt        fedb
kDNormal          fedc
kInvNorm          fedd
kDT               fede
kChi              fedf
kDF               fee0
kBinPDF           fee1
kBinCDF           fee2
kPoiPDF           fee3
kPoiCDF           fee4
kun               fee5
kvn               fee6
kwn               fee7
kRecn             fee8
kPlotStart        fee9
kZPlotStart       feea
kXFact            feeb
kYFact            feec
kANOVA            feed
kMaxY             feee
kWebOn            feef
kWebOff           fef0
kTblInput         fef1
kGeoPDF           fef2
kGeoCDF           fef3
kShadeNorm        fef4
kShadeT           fef5
kShadeChi         fef6
kShadeF           fef7
kPlotStep         fef8
kZPlotStep        fef9
kLinRegtTest      fefa
kMGT              fefb
kSelectA          fefc
kZFitA            fefd

FC (ExtendEcho2) prefixed keys:

kGDB1             fc00
kGDB2             fc01
kGDB3             fc02
kY1               fc03
kY2               fc04
kY3               fc05
kY4               fc06
kY5               fc07
kY6               fc08
kY7               fc09
kY8               fc0a
kY9               fc0b
kY0               fc0c
kX1T              fc0d
kY1T              fc0e
kX2T              fc0f
kY2T              fc10
kX3T              fc11
kY3T              fc12
kX4T              fc13
kY4T              fc14
kX5T              fc15
kY5T              fc16
kX6T              fc17
kY6T              fc18
kR1               fc19
kR2               fc1a
kR3               fc1b
kR4               fc1c
kR5               fc1d
kR6               fc1e
kGDB4             fc1f
kGDB5             fc20
kGDB6             fc21
kPic4             fc22
kPic5             fc23
kPic6             fc24
kGDB7             fc25
kGDB8             fc26
kGDB9             fc27
kGDB0             fc28
kPic7             fc29
kPic8             fc2a
kPic9             fc2b
kPic0             fc2c
kStatN            fc2d
kXMean            fc2e
kConj             fc2f
kReal             fc30
kFAngle           fc31
kLCM              fc32
kGCD              fc33
kRandInt          fc34
kRandNorm         fc35
kToPolar          fc36
kToRect           fc37
kYMean            fc38
kStdX             fc39
kStdX1            fc3a
kw0               fc3b
kMatF             fc3c
kMatG             fc3d
kMatRH            fc3e
kMatI             fc3f
kMatJ             fc40
kYMean1           fc41
kStdY             fc42
kStdY1            fc43
kMatToLst         fc44
kLstToMat         fc45
kCumSum           fc46
kDeltaLst         fc47
kStdDev           fc48
kVariance         fc49
kLength           fc4a
kEquToStrng       fc4b
kStrngToEqu       fc4c
kExpr             fc4d
kSubStrng         fc4e
kInStrng          fc4f
kStr1             fc50
kStr2             fc51
kStr3             fc52
kStr4             fc53
kStr5             fc54
kStr6             fc55
kStr7             fc56
kStr8             fc57
kStr9             fc58
kStr0             fc59
kFinN             fc5a
kFinI             fc5b
kFinPV            fc5c
kFinPMT           fc5d
kFinFV            fc5e
kFinPY            fc5f
kFinCY            fc60
kFinFPMT          fc61
kFinFI            fc62
kFinFPV           fc63
kFinFN            fc64
kFinFFV           fc65
kFinNPV           fc66
kFinIRR           fc67
kFinBAL           fc68
kFinPRN           fc69
kFinINT           fc6a
kSumX             fc6b
kSumX2            fc6c
kFinToNom         fc6d
kFinToEff         fc6e
kFinDBD           fc6f
kStatVP           fc70
kStatZ            fc71
kStatT            fc72
kStatChi          fc73
kStatF            fc74
kStatDF           fc75
kStatPhat         fc76
kStatPhat1        fc77
kStatPhat2        fc78
kStatMeanX1       fc79
kStatMeanX2       fc7a
kStatStdX1        fc7b
kStatStdX2        fc7c
kStatStdXP        fc7d
kStatN1           fc7e
kStatN2           fc7f
kStatLower        fc80
kStatUpper        fc81
kuw0              fc82
kImag             fc83
kSumY             fc84
kXres             fc85
kStat_s           fc86
kSumY2            fc87
kSumXY            fc88
kuXres            fc89
kModBox           fc8a
kNormProb         fc8b
kNormalPDF        fc8c
kTPDF             fc8d
kChiPDF           fc8e
kFPDF             fc8f
kMinY             fc90
kRandBin          fc91
kRef              fc92
kRRef             fc93
kLRSqr            fc94
kBRSqr            fc95
kDiagOn           fc96
kDiagOff          fc97
kun1              fc98
kvn1              fc99

Only on TI-83+:

kArchive          fc9a
kUnarchive        fc9b
kAsm              fc9c
kAsmPrgm          fc9d
kAsmComp          fc9e
kcapAAcute        fc9f
kcapAGrave        fca0
kcapACaret        fca1
kcapADier         fca2
kaAcute           fca3
kaGrave           fca4
kaCaret           fca5
kaDier            fca6
kcapEAcute        fca7
kcapEGrave        fca8
kcapECaret        fca9
kcapEDier         fcaa
keAcute           fcab
keGrave           fcac
keCaret           fcad
keDier            fcae
kcapIAcute        fcaf
kcapIGrave        fcb0
kcapICaret        fcb1
kcapIDier         fcb2
kiAcute           fcb3
kiGrave           fcb4
kiCaret           fcb5
kiDier            fcb6
kcapOAcute        fcb7
kcapOGrave        fcb8
kcapOCaret        fcb9
